index,symbol,companyName,floor,industryName
568,PSG,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,UPCOM,Xây dựng công trình
569,PSL,Công ty Cổ phần Chăn nuôi Phú Sơn,UPCOM,Nông sản và thủy hải sản
570,PSN,Công ty cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,UPCOM,Dịch vụ và Thiết bị dầu khí
571,PSP,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,UPCOM,Dịch vụ vận tải
572,PTE,Công ty Cổ phần Xi măng Phú Thọ,UPCOM,Vật liệu xây dựng
573,PTG,Công ty Cổ phần May xuất khẩu Phan Thiết ,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
574,PTH,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,UPCOM,Dịch vụ vận tải
575,PTO,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,UPCOM,Dịch vụ viễn thông cố định
576,PTP,Công ty Cổ phần Dịch vụ Viễn thông và In bưu điện,UPCOM,Hoạt động xuất bản
577,PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,UPCOM,Dịch vụ vận tải
578,PTV,Công ty cổ phần Thương mại Dầu khí,UPCOM,Dịch vụ và Thiết bị dầu khí
579,PTX,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,UPCOM,Dầu khí tổng hợp
580,PVA,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,UPCOM,Xây dựng công trình
581,PVE,Tổng Công ty tư vấn thiết kế dầu khí - CTCP,UPCOM,Dịch vụ hỗ trợ kinh doanh
582,PVH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,UPCOM,Xây dựng công trình
583,PVM,Công ty cổ phần Máy - Thiết bị Dầu khí,UPCOM,Máy công nghiệp
584,PVO,Công ty Cổ phần DẦU NHỜN PV OIL,UPCOM,Dịch vụ và Thiết bị dầu khí
585,PVP,Công ty cổ phần Vận tải Dầu khí Thái Bình Dương,UPCOM,Vận tải biển
586,PVR,Công ty Cổ phần Đầu tư PVR Hà Nội,UPCOM,Đầu tư và phát triển bất động sản
587,PVV,Công ty Cổ phần Vinaconex 39,UPCOM,Xây dựng công trình
588,PVX,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,UPCOM,Xây dựng công trình
589,PVY,Công ty cổ phần Chế tạo Giàn khoan Dầu khí,UPCOM,Dịch vụ và Thiết bị dầu khí
590,PWA,Công ty Cổ phần Bất động sản Dầu khí,UPCOM,Đầu tư và phát triển bất động sản
