index,symbol,companyName,floor,industryName
291,SGN,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,HOSE,Dịch vụ vận tải
292,SGR,Công ty Cổ phần Tổng Công ty Cổ phần Địa Ốc Sài Gòn,HOSE,Đầu tư và phát triển bất động sản
293,SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,HOSE,Phần mềm
294,SHA,Công ty Cổ phần Sơn Hà Sài Gòn,HOSE,Các sản phẩm gia dụng lâu bền
295,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội ,HOSE,Ngân hàng
296,SHI,Công ty Cổ phần Quốc tế Sơn Hà,HOSE,Các sản phẩm gia dụng lâu bền
297,SHP,Công ty Cổ phần Thủy điện miền Nam ,HOSE,Điện
298,SII,Công ty Cổ phần Hạ tầng Nước Sài Gòn,HOSE,Đầu tư và phát triển bất động sản
299,SJD,Công ty Cổ phần Thủy Điện Cần Đơn,HOSE,Điện
300,SJF,Công Ty Cổ phần Đầu tư Sao Thái Dương,HOSE,Nông sản và thủy hải sản
301,SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,HOSE,Đầu tư và phát triển bất động sản
302,SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang ,HOSE,Vận tải biển
303,SMA,Công ty Cổ phần Thiết bị phụ tùng Sài Gòn,HOSE,Công nghiệp đa ngành
304,SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung ,HOSE,Nước ngọt
305,SMC,Công ty Cổ phần đầu tư thương mại SMC ,HOSE,Thép
306,SPM,Công ty Cổ phần S.P.M ,HOSE,Dược phẩm
307,SRC,Công ty Cổ phần Cao su Sao vàng,HOSE,Săm lốp
308,SRF,Công ty cổ phần Searefico,HOSE,Máy công nghiệp
309,SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,HOSE,Ngân hàng
310,SSC,Công ty Cổ phần Giống cây trồng miền Nam ,HOSE,Nông sản và thủy hải sản
311,SSI,Công ty Cổ phần chứng khoán SSI,HOSE,Dịch vụ đầu tư
312,ST8,Công ty Cổ phần Siêu Thanh ,HOSE,Thiết bị điện tử văn phòng
313,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HOSE,Ngân hàng
314,STG,Công ty Cổ phần Kho vận miền Nam,HOSE,Dịch vụ vận tải
315,STK,Công ty Cổ phần Sợi thế kỷ ,HOSE,Hóa chất cơ bản
316,SVC,Công ty Cổ phần dịch vụ tổng hợp Sài Gòn ,HOSE,Cửa hàng chuyên dụng
317,SVD,Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,HOSE,"Đồ may mặc, trang sức, phụ kiện"
318,SVI,Công ty Cổ phần Bao bì Biên Hòa,HOSE,Bao bì & đóng gói
319,SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,HOSE,Hoạt động xuất bản
320,SZC,Công ty cổ phần Sonadezi Châu Đức,HOSE,Xây dựng công trình
321,SZL,Công ty Cổ phần Sonadezi Long Thành,HOSE,Đầu tư và phát triển bất động sản
322,TAC,Công ty Cổ phần Dầu thực vật Tường An,HOSE,Sản xuất thực phẩm
323,TBC,Công ty Cổ phần Thủy điện Thác Bà,HOSE,Điện
324,TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,HOSE,Ngân hàng
325,TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,HOSE,Xây dựng công trình
326,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,HOSE,Đầu tư và phát triển bất động sản
327,TCL,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng ,HOSE,Dịch vụ vận tải
328,TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công ,HOSE,"Đồ may mặc, trang sức, phụ kiện"
329,TCO,Công ty Cổ phần Vận tải đa phương thức Duyên Hải ,HOSE,Vận tải biển
330,TCR,Công ty Cổ phần Công Nghiệp Gốm sứ Taicera ,HOSE,Vật liệu xây dựng
331,TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh ,HOSE,Dịch vụ vui chơi giải trí
332,TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,HOSE,Vật liệu xây dựng
333,TDG,Công ty Cổ phần Đầu tư TDG GLOBAL,HOSE,Dầu khí tổng hợp
334,TDH,Công ty Cổ phần Phát triển nhà Thủ Đức,HOSE,Đầu tư và phát triển bất động sản
